s22t13 dmee
0.11213 0.002328 
0.112315 0.002328 
0.1125 0.002328 
0.112685 0.002328 
0.11287 0.002328 
0.113055 0.002328 
0.11324 0.002328 
0.113426 0.002328 
0.113611 0.002328 
0.113797 0.002328 
0.113983 0.002328 
0.114169 0.002328 
0.114355 0.002328 
0.114541 0.002328 
0.114728 0.002328 
0.114914 0.002328 
0.115101 0.002328 
0.115288 0.002328 
0.115475 0.002328 
0.115662 0.002328 
0.115849 0.002328 
0.116036 0.002328 
0.116224 0.002328 
0.116411 0.002328 
0.116599 0.002328 
0.116787 0.002328 
0.116975 0.002328 
0.117163 0.002328 
0.117351 0.002328 
0.117539 0.002328 
0.117728 0.002328 
0.117916 0.002328 
0.118105 0.002328 
0.118294 0.002328 
0.118483 0.002328 
0.118672 0.002328 
0.0759183 0.002331 
0.0760734 0.002331 
0.0762285 0.002331 
0.0763839 0.002331 
0.0765393 0.002331 
0.076695 0.002331 
0.0768507 0.002331 
0.0770066 0.002331 
0.0771627 0.002331 
0.0773189 0.002331 
0.0774752 0.002331 
0.0776317 0.002331 
0.0777884 0.002331 
0.0779452 0.002331 
0.0781021 0.002331 
0.0782591 0.002331 
0.0784164 0.002331 
0.0785737 0.002331 
0.0787312 0.002331 
0.0788889 0.002331 
0.0790466 0.002331 
0.0792046 0.002331 
0.0793627 0.002331 
0.0795209 0.002331 
0.0796792 0.002331 
0.0798378 0.002331 
0.0799964 0.002331 
0.0801552 0.002331 
0.0803141 0.002331 
0.0804732 0.002331 
0.0806325 0.002331 
0.0807918 0.002331 
0.0809513 0.002331 
0.081111 0.002331 
0.0812708 0.002331 
0.0814307 0.002331 
0.0815908 0.002331 
0.0817511 0.002331 
0.0819114 0.002331 
0.082072 0.002331 
0.0822326 0.002331 
0.0823934 0.002331 
0.0825544 0.002331 
0.0827155 0.002331 
0.0828767 0.002331 
0.0830381 0.002331 
0.0831996 0.002331 
0.0833613 0.002331 
0.0835231 0.002331 
0.083685 0.002331 
0.0838471 0.002331 
0.0840093 0.002331 
0.0841717 0.002331 
0.0843342 0.002331 
0.0844969 0.002331 
0.0846597 0.002331 
0.0848226 0.002331 
0.0849857 0.002331 
0.0851489 0.002331 
0.0853123 0.002331 
0.0854758 0.002331 
0.0856395 0.002331 
0.0858032 0.002331 
0.0859672 0.002331 
0.0861313 0.002331 
0.0862955 0.002331 
0.0864598 0.002331 
0.0866243 0.002331 
0.086789 0.002331 
0.0869538 0.002331 
0.0871187 0.002331 
0.0872838 0.002331 
0.087449 0.002331 
0.0876143 0.002331 
0.0877798 0.002331 
0.0879455 0.002331 
0.0881112 0.002331 
0.0882771 0.002331 
